Word,Count
надписи,16
*,12
the,8
,6
выбор,5
цвета,5
application,4
форме,2
рисование,2
Create,2
frame,2
собственно,2
на,2
Launch,2
of,2
всего,2
Initialize,2
contents,2
///////////////////////////////////////////////////////,1
отладки,1
treeFrame.getContentPane().add(panel);,1
treeFrame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);,1
\g2d.fillRect(50,50,\,1
frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);,1
if(!App.tree.root.t8.GetNonVisual()),1
up;,1
для,1
cubeFrame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);,1
OctreeNode,1
\20,\,1
20);,1
private,1
